Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Stn Press (kPa),SO2,NO,NO2,NOx,CO,O3,PM25
-7.0,-13.8,58.0,22.0,18.0,100.17,1,1,9,10,0.18,27,8
-6.8,-13.5,59.0,22.0,16.0,100.11,1,1,9,10,0.18,26,8
-6.9,-13.7,58.0,23.0,20.0,100.1,0,1,8,9,0.19,27,7
-7.1,-13.6,60.0,23.0,16.0,100.05,0,1,8,9,0.18,27,6
-7.1,-13.4,61.0,23.0,16.0,100.01,0,1,7,8,0.17,28,5
-6.9,-13.4,60.0,22.0,23.0,99.98,0,1,7,8,0.17,27,6
-6.5,-13.4,58.0,21.0,20.0,99.94,1,1,8,9,0.19,25,6
-6.5,-13.3,58.0,20.0,29.0,99.94,1,1,8,9,0.19,24,7
-6.3,-13.3,58.0,21.0,20.0,99.89,1,2,9,10,0.2,23,7
-5.4,-12.1,59.0,21.0,23.0,99.88,1,2,8,9,0.19,24,7
-4.5,-11.3,59.0,21.0,28.0,99.82,0,2,7,9,0.19,25,7
-4.1,-11.0,59.0,22.0,25.0,99.73,1,2,7,9,0.17,24,7
-3.5,-10.5,59.0,22.0,25.0,99.64,0,2,8,10,0.18,23,7
-3.4,-10.4,59.0,23.0,26.0,99.58,0,2,6,8,0.17,23,7
-3.2,-10.1,59.0,23.0,22.0,99.53,0,2,7,9,0.17,23,7
-3.0,-9.5,61.0,23.0,22.0,99.51,0,2,8,10,0.18,22,7
-4.3,-7.4,79.0,22.0,19.0,99.57,0,2,9,11,0.19,20,9
-4.0,-7.9,74.0,22.0,16.0,99.58,0,1,9,11,0.17,20,9
-3.9,-9.2,67.0,23.0,20.0,99.61,0,1,9,10,0.18,20,10
-3.8,-9.5,65.0,22.0,19.0,99.61,0,1,9,10,0.18,20,10
-4.2,-9.3,68.0,23.0,13.0,99.65,0,1,11,12,0.19,18,10
-3.6,-9.2,65.0,24.0,12.0,99.73,0,1,7,8,0.17,22,10
-3.1,-8.4,67.0,25.0,19.0,99.79,0,1,7,8,0.17,22,9
-3.3,-7.4,73.0,24.0,24.0,99.86,0,1,7,8,0.17,21,10
-4.1,-6.2,85.0,23.0,21.0,99.93,0,1,6,7,0.18,22,11
-3.7,-6.3,82.0,25.0,24.0,100.0,1,1,4,5,0.16,26,6
-3.9,-7.6,76.0,26.0,21.0,100.13,1,1,3,4,0.15,31,2
-6.1,-11.1,68.0,29.0,17.0,100.28,0,1,4,5,0.15,31,2
-6.7,-12.6,63.0,29.0,14.0,100.35,0,1,3,5,0.15,30,2
-7.4,-12.5,67.0,30.0,10.0,100.49,0,1,3,5,0.14,31,2
-8.9,-13.2,71.0,33.0,14.0,100.63,0,1,3,4,0.16,32,2
-10.0,-14.8,68.0,29.0,10.0,100.74,0,1,5,6,0.17,30,2
-10.9,-16.1,66.0,29.0,9.0,100.9,0,1,6,8,0.17,28,3
-10.1,-15.8,63.0,27.0,16.0,101.03,0,2,4,6,0.16,30,3
-9.4,-14.6,66.0,29.0,12.0,101.11,1,2,3,4,0.16,31,2
-8.9,-14.6,64.0,27.0,17.0,101.16,1,2,2,4,0.15,33,2
-8.6,-15.1,60.0,27.0,24.0,101.14,1,1,2,4,0.15,33,3
-8.2,-16.1,53.0,28.0,23.0,101.2,1,1,2,4,0.15,36,3
-7.9,-17.5,46.0,28.0,22.0,101.34,1,1,2,4,0.15,36,3
-7.9,-18.3,43.0,29.0,19.0,101.42,1,1,3,5,0.16,34,3
-8.4,-18.5,44.0,29.0,16.0,101.52,1,1,5,6,0.17,32,5
-9.3,-18.1,48.0,29.0,10.0,101.63,0,1,7,8,0.18,30,8
-9.4,-18.7,47.0,28.0,10.0,101.74,0,1,7,8,0.17,31,7
-10.4,-18.6,51.0,29.0,9.0,101.86,0,1,10,11,0.21,26,8
-10.6,-18.3,53.0,29.0,8.0,101.95,0,1,11,12,0.2,25,10
-11.1,-18.2,56.0,27.0,7.0,102.05,0,1,15,16,0.23,21,9
-11.9,-17.8,62.0,28.0,7.0,102.13,0,2,22,23,0.3,15,10
-12.6,-17.7,65.0,29.0,6.0,102.22,0,1,9,10,0.2,28,8
-13.4,-17.6,71.0,26.0,2.0,102.28,0,1,7,9,0.17,29,5
-14.0,-18.0,72.0,0.0,1.0,102.31,0,2,7,8,0.16,28,5
-12.6,-18.5,61.0,1.0,5.0,102.42,1,1,8,9,0.16,27,4
-13.1,-18.4,64.0,6.0,9.0,102.44,0,1,7,8,0.15,28,3
