Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Stn Press (kPa),SO2,NO,NO2,NOx,CO,O3,PM25
-7.4,-15.4,53.0,26.0,16.0,100.35,0,1,7,8,0.16,25,6
-7.3,-15.3,53.0,25.0,12.0,100.26,0,1,6,7,0.17,26,6
-7.1,-14.6,55.0,24.0,15.0,100.24,0,1,6,6,0.17,24,7
-6.8,-13.7,58.0,25.0,15.0,100.25,0,1,5,6,0.18,23,7
-6.5,-13.0,60.0,25.0,13.0,100.22,0,1,6,7,0.18,23,7
-6.1,-12.7,60.0,24.0,14.0,100.16,0,1,5,6,0.17,24,7
-5.6,-12.2,60.0,24.0,14.0,100.12,0,1,5,6,0.17,25,7
-5.4,-11.9,60.0,25.0,18.0,100.1,0,1,5,6,0.15,24,8
-5.4,-11.7,61.0,24.0,16.0,99.98,0,1,6,6,0.15,25,8
-4.8,-11.7,59.0,26.0,21.0,100.05,0,1,6,7,0.15,24,9
-4.4,-11.1,59.0,25.0,15.0,99.96,0,2,6,7,0.16,23,8
-3.7,-10.6,59.0,25.0,17.0,99.86,0,2,6,7,0.16,22,9
-3.3,-10.5,58.0,26.0,22.0,99.75,0,2,6,7,0.16,23,9
-3.2,-10.6,56.0,25.0,23.0,99.67,0,2,6,7,0.18,24,8
-2.9,-10.6,55.0,26.0,25.0,99.71,0,2,5,7,0.18,23,8
-2.8,-11.1,53.0,26.0,22.0,99.71,0,2,7,8,0.18,23,8
-2.4,-10.8,53.0,25.0,16.0,99.7,0,1,7,8,0.18,23,8
-2.2,-10.1,55.0,26.0,18.0,99.78,0,1,8,9,0.19,22,8
-2.3,-10.4,54.0,25.0,16.0,99.83,0,1,8,9,0.18,22,8
-1.7,-10.2,52.0,25.0,14.0,99.86,0,1,7,8,0.18,23,8
-1.6,-9.7,54.0,25.0,19.0,99.94,0,1,8,8,0.18,22,7
-1.2,-9.8,52.0,26.0,17.0,100.04,0,1,7,8,0.18,22,7
-1.0,-9.4,53.0,26.0,15.0,100.1,0,1,8,8,0.18,23,7
-0.8,-8.3,57.0,26.0,19.0,100.16,1,1,7,8,0.19,24,8
-0.9,-7.7,60.0,26.0,17.0,100.2,1,1,7,8,0.18,23,9
-0.9,-6.8,64.0,26.0,15.0,100.24,1,1,8,8,0.18,21,9
-1.0,-6.2,68.0,26.0,13.0,100.32,1,0,8,8,0.18,21,9
-1.3,-5.8,71.0,26.0,12.0,100.41,1,0,7,8,0.18,23,8
-1.3,-6.0,70.0,26.0,11.0,100.46,0,0,7,7,0.17,26,7
-1.5,-6.2,70.0,25.0,9.0,100.52,0,0,7,7,0.16,27,6
-1.6,-6.0,72.0,26.0,9.0,100.62,0,1,10,11,0.17,22,7
-2.1,-6.2,74.0,28.0,7.0,100.74,0,2,15,17,0.2,14,9
-2.5,-6.1,76.0,27.0,4.0,100.82,0,3,17,19,0.21,14,9
-2.0,-5.6,76.0,30.0,6.0,100.97,1,2,13,15,0.18,22,5
-2.0,-7.1,68.0,30.0,12.0,101.06,2,2,12,14,0.17,28,3
-1.0,-8.9,55.0,28.0,10.0,101.12,0,2,7,9,0.16,34,3
-0.8,-10.2,49.0,27.0,16.0,101.12,0,2,7,8,0.16,34,3
-0.6,-9.7,50.0,26.0,15.0,101.12,0,1,6,8,0.17,34,3
-0.5,-10.1,48.0,27.0,17.0,101.14,0,2,8,10,0.19,32,4
-0.5,-9.5,51.0,29.0,14.0,101.2,0,2,8,9,0.2,32,4
-0.8,-9.7,51.0,29.0,11.0,101.26,0,1,12,13,0.22,29,5
-1.8,-9.9,54.0,28.0,8.0,101.38,1,1,17,18,0.26,24,6
-2.9,-9.7,59.0,29.0,4.0,101.41,0,1,16,17,0.23,24,7
-4.2,-9.7,66.0,28.0,3.0,101.51,0,1,18,19,0.25,21,7
-5.9,-10.2,72.0,32.0,3.0,101.58,0,13,33,46,0.4,8,13
-6.7,-9.9,78.0,0.0,1.0,101.65,0,25,36,62,0.42,1,14
-7.3,-9.9,82.0,28.0,1.0,101.67,0,39,36,75,0.49,2,25
-7.7,-9.7,86.0,,0.0,101.69,0,19,34,54,0.38,1,12
-7.5,-9.5,85.0,28.0,1.0,101.69,0,15,35,50,0.35,2,11
-7.8,-9.7,86.0,0.0,1.0,101.68,0,12,35,48,0.34,2,9
-7.4,-9.3,86.0,26.0,2.0,101.67,0,11,37,48,0.32,2,9
-6.9,-9.1,85.0,32.0,1.0,101.68,0,3,21,23,0.23,16,8
-7.2,-9.1,86.0,,0.0,101.62,0,0,15,16,0.21,20,9
-4.0,-6.4,83.0,9.0,3.0,101.52,0,1,21,21,0.25,15,10
-2.0,-6.0,74.0,9.0,6.0,101.39,1,2,26,28,0.29,9,11
-2.3,-5.9,77.0,7.0,5.0,101.33,1,4,29,33,0.31,5,13
-1.8,-4.7,80.0,10.0,3.0,101.27,2,8,30,38,0.34,4,15
-0.9,-4.2,78.0,8.0,9.0,101.27,15,5,21,26,0.31,11,15
-0.2,-4.1,75.0,8.0,9.0,101.2,6,3,17,20,0.26,16,15
0.0,-4.2,73.0,8.0,12.0,101.12,9,2,13,15,0.24,19,14
-0.9,-2.7,88.0,8.0,10.0,100.94,5,3,14,17,0.24,18,16
-1.4,-2.0,96.0,8.0,8.0,100.77,1,3,17,20,0.28,15,17
-0.7,-1.1,97.0,10.0,10.0,100.57,1,1,10,12,0.22,20,12
-0.3,-0.8,97.0,9.0,11.0,100.36,0,1,11,12,0.23,19,10
0.0,-0.4,97.0,9.0,7.0,100.29,0,1,13,14,0.24,16,9
0.2,-0.2,97.0,8.0,8.0,100.11,2,2,15,17,0.27,13,8
0.4,0.0,97.0,7.0,6.0,100.02,1,2,18,20,0.27,10,10
0.6,0.2,98.0,8.0,6.0,99.89,0,3,22,25,0.3,6,12
0.7,0.4,98.0,6.0,5.0,99.81,1,7,27,34,0.38,2,17
0.6,0.4,98.0,2.0,3.0,99.76,0,15,28,43,0.41,1,17
0.6,0.3,98.0,4.0,1.0,99.69,0,11,26,37,0.38,2,14
0.5,0.3,99.0,1.0,2.0,99.6,0,5,24,29,0.33,2,12
0.7,0.5,99.0,36.0,2.0,99.52,0,4,22,26,0.3,3,13
0.4,0.2,99.0,,0.0,99.42,0,2,21,23,0.29,4,17
0.4,0.2,99.0,31.0,2.0,99.37,1,4,24,28,0.31,3,17
0.3,0.1,99.0,,0.0,99.33,0,8,27,35,0.35,1,11
0.2,0.1,99.0,21.0,1.0,99.22,9999,9999,9999,9999,9999.0,9999,7
0.6,0.4,99.0,29.0,2.0,99.1,0,35,27,63,0.43,1,7
0.5,0.4,99.0,26.0,1.0,98.97,0,46,28,75,0.45,1,5
0.6,0.5,99.0,35.0,1.0,98.91,1,38,29,66,0.47,1,4
0.7,0.6,99.0,28.0,4.0,98.92,1,47,29,75,0.49,1,4
0.8,0.7,99.0,0.0,1.0,98.87,1,58,30,87,0.57,1,4
1.5,1.3,99.0,30.0,4.0,98.8,1,53,28,81,0.55,2,4
2.9,2.7,99.0,27.0,5.0,98.7,1,17,14,31,0.4,7,3
3.7,3.4,98.0,26.0,11.0,98.76,1,3,7,10,0.26,11,1
4.5,3.0,90.0,25.0,18.0,98.82,1,4,9,13,0.29,8,2
3.7,1.0,83.0,26.0,21.0,98.92,1,4,10,14,0.3,10,4
3.1,0.6,83.0,25.0,17.0,99.02,1,3,7,10,0.27,13,3
2.5,0.0,84.0,25.0,12.0,99.13,0,1,8,9,0.26,15,3
2.1,-1.1,80.0,26.0,13.0,99.33,0,1,7,8,0.23,21,3
1.6,-1.1,83.0,27.0,15.0,99.49,1,0,5,6,0.2,24,4
0.5,-1.2,88.0,28.0,13.0,99.64,1,0,6,6,0.21,25,5
0.2,-1.8,86.0,26.0,12.0,99.72,1,0,6,6,0.2,24,5
-0.8,-3.0,85.0,29.0,14.0,99.82,1,0,5,5,0.18,26,2
-2.5,-7.2,70.0,29.0,19.0,99.98,0,0,4,5,0.17,28,2
-3.5,-8.0,71.0,29.0,19.0,100.09,0,0,4,4,0.16,30,3
-4.5,-9.2,70.0,28.0,19.0,100.23,0,0,4,4,0.16,32,3
-5.4,-7.7,84.0,26.0,19.0,100.37,0,0,3,3,0.16,35,3
-5.4,-11.0,65.0,27.0,20.0,100.49,0,0,3,3,0.16,34,3
-6.7,-10.8,73.0,26.0,22.0,100.67,0,0,3,3,0.16,35,4
-7.8,-13.1,66.0,27.0,25.0,100.78,0,0,3,3,0.16,36,4
-8.6,-15.3,58.0,27.0,26.0,100.88,0,0,4,4,0.16,35,5
-9.4,-14.8,65.0,27.0,27.0,100.97,0,0,5,5,0.16,34,4
-10.5,-16.4,62.0,27.0,21.0,101.09,0,1,6,7,0.17,33,4
-11.2,-17.8,59.0,26.0,22.0,101.25,0,1,6,8,0.19,33,4
-11.1,-17.5,59.0,27.0,17.0,101.37,0,2,7,9,0.18,32,4
-11.1,-16.8,63.0,26.0,19.0,101.47,0,2,6,8,0.18,33,3
-10.6,-17.4,58.0,27.0,21.0,101.53,0,2,5,7,0.22,33,3
-11.0,-18.3,55.0,26.0,23.0,101.54,0,2,5,8,0.19,33,4
-10.9,-17.7,57.0,27.0,20.0,101.5,0,2,6,8,0.2,33,4
-11.2,-17.5,59.0,27.0,22.0,101.53,0,2,6,8,0.19,33,4
-11.3,-16.6,65.0,27.0,18.0,101.65,0,4,7,11,0.28,32,4
-11.9,-17.1,65.0,27.0,17.0,101.69,0,2,8,10,0.3,31,5
-12.4,-17.8,64.0,26.0,15.0,101.76,0,1,9,11,0.26,31,6
-12.6,-18.5,62.0,26.0,12.0,101.82,0,1,12,13,0.22,28,7
-12.8,-18.6,62.0,26.0,11.0,101.78,1,1,15,16,0.21,25,7
-12.8,-17.9,66.0,25.0,6.0,101.71,1,1,16,17,0.21,24,8
-12.6,-17.5,67.0,24.0,5.0,101.67,0,1,11,12,0.2,28,6
-12.3,-17.4,66.0,25.0,9.0,101.57,0,1,10,10,0.19,29,6
-12.3,-17.7,64.0,26.0,9.0,101.59,1,0,9,10,0.18,29,6
-12.4,-18.0,63.0,27.0,11.0,101.49,0,0,11,11,0.18,27,8
-12.5,-17.9,64.0,24.0,3.0,101.46,0,1,13,13,0.2,25,10
-12.2,-17.3,66.0,26.0,9.0,101.53,1,1,11,12,0.19,26,9
-11.7,-16.8,66.0,25.0,7.0,101.46,0,1,10,10,0.19,27,9
-11.4,-16.2,68.0,26.0,4.0,101.31,0,1,10,11,0.19,26,9
-11.1,-15.9,68.0,25.0,5.0,101.22,1,1,9,10,0.19,26,9
-11.1,-15.9,68.0,25.0,3.0,101.12,1,2,16,19,0.21,19,9
-11.5,-13.3,86.0,23.0,4.0,101.12,0,3,17,20,0.22,18,9
-11.5,-13.3,87.0,24.0,4.0,101.09,0,3,16,19,0.25,19,10
-10.9,-13.1,84.0,24.0,3.0,101.06,1,7,13,20,0.27,22,10
-10.1,-13.5,77.0,25.0,7.0,101.01,1,5,12,17,0.23,25,9
-9.4,-13.3,73.0,24.0,9.0,100.93,1,5,11,17,0.4,26,9
-9.3,-13.9,69.0,27.0,12.0,100.77,0,4,10,15,0.23,28,8
-8.4,-14.2,63.0,26.0,13.0,100.67,1,5,11,16,0.22,26,8
-7.5,-13.6,61.0,26.0,14.0,100.64,1,4,11,15,0.21,26,9
-8.4,-15.4,57.0,26.0,15.0,100.64,1,5,12,17,0.31,26,10
-8.7,-15.5,58.0,25.0,12.0,100.53,1,3,15,19,0.28,22,10
-9.5,-15.2,63.0,25.0,10.0,100.47,1,2,16,19,0.3,20,10
-10.2,-14.4,71.0,25.0,8.0,100.4,1,2,17,19,0.25,21,12
-9.4,-14.2,68.0,25.0,11.0,100.38,1,2,15,17,0.23,22,11
-8.9,-13.1,71.0,24.0,15.0,100.27,1,1,11,13,0.22,25,10
-8.6,-13.0,70.0,25.0,14.0,100.17,1,1,9,10,0.2,27,8
-8.7,-12.7,73.0,25.0,15.0,100.06,1,1,9,10,0.19,27,9
-8.7,-12.0,77.0,25.0,14.0,99.98,0,1,10,11,0.19,27,8
-9.4,-10.6,91.0,25.0,13.0,99.96,0,1,10,11,0.18,28,7
-9.3,-11.4,85.0,26.0,11.0,99.94,0,0,7,7,0.17,34,5
-9.6,-13.4,73.0,26.0,13.0,99.97,0,0,7,7,0.17,34,6
-9.6,-14.1,70.0,26.0,14.0,100.03,0,0,6,6,0.16,33,6
-9.9,-12.5,82.0,26.0,14.0,100.05,0,0,6,6,0.17,32,5
-9.9,-12.2,83.0,26.0,15.0,100.04,0,1,6,7,0.17,31,4
