,,,,,,,,,,,O3-49i,NO-42i,NO2-42i,CO-48i-TLE,PM2.5
Year,Month,Day,Time,Temp (¡C),Dew Point Temp (¡C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),ppb,ppb,ppb,ppb,ug/m3
2017,1,1,0:00,-9,-10.9,86,1,11,8.1,99.96,23.3,1.2,5.1,252.8,11.5
2017,1,1,1:00,-8.6,-10.5,86,34,10,9.7,100,22.1,1,5.4,292.8,10.3
2017,1,1,2:00,-8,-9.9,86,34,7,3.2,100.06,19.7,0.2,8.5,276,11.3
2017,1,1,3:00,-7.7,-9.7,86,35,8,12.9,100.1,19.2,0.1,9.8,269.6,12.5
2017,1,1,4:00,-7.1,-9.1,86,36,5,6.4,100.12,18.5,0.3,9.2,256.7,11.6
2017,1,1,5:00,-6.7,-8.5,87,33,5,3.2,100.19,19.6,0.1,8.4,261.1,12.3
2017,1,1,6:00,-6.5,-8,89,31,11,8.1,100.41,17,0.4,10.6,270.8,12.5
2017,1,1,7:00,-2.6,-5.3,82,26,32,19.3,100.6,17.6,0.4,9.3,242.9,10.7
2017,1,1,8:00,-3,-7.2,73,26,33,24.1,100.82,22.6,0.5,3.2,192.9,5.1
2017,1,1,9:00,-2.8,-7,73,27,31,24.1,100.99,23.1,0.9,2.4,191.4,4
2017,1,1,10:00,-2.8,-7.4,71,27,34,24.1,101.21,22.6,1.5,2.6,197.9,4.8
2017,1,1,11:00,-3.2,-8.1,69,26,31,24.1,101.33,23.8,1.2,2.2,203.2,5.4
2017,1,1,12:00,-3.4,-8.3,69,26,24,24.1,101.43,24.5,1.5,2.4,200.2,5.4
2017,1,1,13:00,-3.2,-8.3,68,25,24,24.1,101.52,25.5,1.2,2.4,205.1,5.9
2017,1,1,14:00,-3.1,-8.6,66,25,21,24.1,101.68,26.8,0.9,2.3,190.6,5.8
2017,1,1,15:00,-3.5,-9.6,63,25,27,24.1,101.81,28,0.5,2.7,195.4,5.3
2017,1,1,16:00,-3.9,-10.2,62,26,15,24.1,101.91,25.9,0.3,5.6,230.4,7
2017,1,1,17:00,-4.4,-10.6,62,33,5,24.1,102.01,22.9,0.2,8.8,276.3,10.4
2017,1,1,18:00,-5.8,-10.3,71,36,3,24.1,102.13,22.1,0.1,9.7,335.1,15.6
2017,1,1,19:00,-5.5,-9.8,72,23,5,24.1,102.24,21.7,0.1,10.1,359.1,18.2
2017,1,1,20:00,-4.6,-9.1,71,36,3,24.1,102.29,20.7,0,11.1,347.5,15.3
2017,1,1,21:00,-3.4,-7.9,71,13,7,24.1,102.32,3.2,7.8,33.1,500.6,20.9
2017,1,1,22:00,-3.9,-7.7,75,11,7,24.1,102.35,1.6,15.2,35.3,583.6,25.4
