Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Wind Chill,NO,NO2,NOx,O3,PM25
-6.2,-13.2,58.0,25.0,43.0,16.1,100.68,-16.0,3,15,18,19,6
-6.0,-13.7,55.0,24.0,41.0,16.1,100.59,-16.0,2,14,16,19,7
-6.2,-13.3,57.0,24.0,45.0,16.1,100.56,-16.0,1,10,11,22,7
-6.0,-12.0,63.0,24.0,32.0,16.1,100.58,-15.0,1,10,11,21,7
-6.0,-12.2,62.0,24.0,35.0,16.1,100.5,-15.0,2,11,13,19,7
-5.5,-10.9,66.0,25.0,43.0,16.1,100.44,-15.0,1,10,11,19,6
-5.0,-10.4,66.0,24.0,54.0,16.1,100.43,-15.0,2,9,11,19,6
-4.9,-10.0,68.0,24.0,46.0,16.1,100.44,-14.0,1,7,9,19,6
-4.8,-10.4,65.0,23.0,52.0,16.1,100.37,-15.0,1,7,8,20,6
-4.5,-9.8,67.0,24.0,45.0,16.1,100.38,-14.0,4,9,13,19,6
-4.2,-9.7,66.0,25.0,48.0,16.1,100.33,-14.0,5,9,14,19,7
-3.6,-10.0,61.0,25.0,45.0,16.1,100.22,-13.0,6,10,15,19,7
-3.0,-9.6,61.0,25.0,46.0,16.1,100.12,-12.0,4,10,14,20,7
-3.0,-10.1,58.0,25.0,34.0,16.1,100.03,-11.0,3,8,11,21,6
-2.6,-9.7,58.0,26.0,37.0,16.1,100.02,-11.0,5,11,15,19,7
-2.5,-9.8,58.0,25.0,45.0,16.1,100.06,-11.0,3,10,14,19,7
-2.6,-10.2,56.0,24.0,39.0,16.1,100.09,-11.0,4,14,18,16,8
-2.3,-10.1,55.0,25.0,34.0,16.1,100.16,-10.0,2,12,15,18,9
-1.8,-9.4,56.0,24.0,37.0,16.1,100.16,-10.0,2,11,13,18,9
-1.4,-8.8,57.0,24.0,41.0,16.1,100.22,-9.0,3,13,17,17,9
-1.2,-9.3,54.0,25.0,43.0,16.1,100.29,-9.0,6,15,21,16,9
-0.9,-8.3,57.0,25.0,41.0,16.1,100.36,-9.0,5,15,20,16,8
-0.7,-7.6,60.0,25.0,43.0,16.1,100.39,-9.0,4,14,18,18,8
-0.6,-6.4,65.0,24.0,41.0,16.1,100.46,-8.0,4,13,17,17,8
-0.6,-6.1,67.0,24.0,39.0,16.1,100.49,-8.0,4,14,18,16,8
-0.6,-5.3,71.0,24.0,45.0,16.1,100.53,-9.0,1,11,12,20,8
-1.8,-3.7,87.0,24.0,28.0,6.4,100.63,-9.0,3,16,19,14,9
-1.2,-4.0,81.0,25.0,34.0,16.1,100.71,-8.0,2,15,17,15,9
-1.1,-5.8,71.0,27.0,24.0,16.1,100.77,-7.0,0,8,8,29,9
-2.1,-8.1,64.0,31.0,28.0,16.1,100.86,-9.0,0,7,7,32,5
-2.4,-8.0,66.0,29.0,17.0,16.1,100.95,-8.0,0,10,10,30,4
-2.5,-8.4,64.0,28.0,17.0,16.1,101.11,-8.0,0,11,11,29,4
-2.6,-8.1,66.0,29.0,18.0,16.1,101.21,-8.0,0,10,10,31,4
-3.0,-8.8,65.0,28.0,22.0,16.1,101.34,-9.0,1,10,11,31,4
-2.2,-8.7,61.0,27.0,24.0,16.1,101.4,-9.0,2,8,10,33,4
-1.6,-9.5,55.0,28.0,28.0,16.1,101.45,-8.0,1,6,7,35,4
-1.9,-11.2,49.0,29.0,39.0,16.1,101.43,-10.0,1,5,5,36,4
-1.0,-11.2,46.0,27.0,30.0,16.1,101.45,-8.0,1,5,6,36,4
-0.2,-11.3,43.0,28.0,28.0,16.1,101.5,-7.0,1,5,6,36,4
-0.5,-11.0,45.0,28.0,30.0,16.1,101.54,-7.0,1,7,8,34,4
-0.9,-10.7,48.0,29.0,26.0,16.1,101.61,-7.0,0,10,10,31,4
-1.7,-10.8,50.0,29.0,26.0,16.1,101.74,-8.0,0,10,10,31,4
-2.5,-10.4,55.0,29.0,21.0,16.1,101.81,-9.0,0,16,16,25,5
-2.7,-10.8,54.0,31.0,11.0,16.1,101.87,-7.0,0,17,17,24,6
-3.3,-10.7,57.0,29.0,13.0,16.1,101.98,-8.0,0,22,22,19,6
-3.0,-10.5,57.0,31.0,11.0,16.1,102.02,-7.0,0,29,29,14,6
-3.0,-10.6,56.0,34.0,5.0,16.1,102.03,-5.0,0,23,23,19,6
-4.2,-10.3,63.0,,4.0,16.1,102.13,-6.0,7,40,47,6,7
-4.2,-7.3,79.0,7.0,15.0,16.1,102.11,-10.0,8,37,45,4,8
-3.6,-6.9,78.0,6.0,18.0,16.1,102.08,-9.0,5,32,37,8,8
