Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Wind Chill,NO,NO2,NOx,O3,PM25
1.1,-3.7,71.0,24.0,37.0,16.1,100.87,,3,14,17,21,13
0.9,-3.8,71.0,24.0,37.0,16.1,100.84,,2,14,16,20,13
0.8,-3.0,76.0,24.0,37.0,16.1,100.79,,2,13,16,20,12
0.8,-2.9,76.0,24.0,41.0,16.1,100.75,,2,11,12,23,13
0.7,-2.9,77.0,25.0,34.0,16.1,100.76,,1,7,8,29,9
0.5,-3.7,73.0,25.0,32.0,16.1,100.68,,2,11,13,26,7
0.4,-4.5,70.0,25.0,32.0,16.1,100.65,,2,12,14,27,7
0.3,-4.3,71.0,24.0,35.0,16.1,100.64,,2,14,16,25,7
0.1,-4.6,71.0,24.0,35.0,16.1,100.62,,1,11,12,27,7
-1.0,-2.7,88.0,24.0,48.0,1.2,100.64,-9.0,1,9,10,30,6
-0.8,-4.2,78.0,26.0,32.0,16.1,100.63,-8.0,1,5,6,34,6
-0.5,-5.3,70.0,26.0,34.0,16.1,100.64,-8.0,1,5,6,34,5
-1.4,-4.0,83.0,27.0,22.0,8.1,100.62,-7.0,1,8,9,32,6
-1.2,-2.7,90.0,25.0,26.0,6.4,100.57,-8.0,3,13,17,26,7
-1.0,-3.8,81.0,25.0,35.0,12.9,100.51,-8.0,1,10,11,27,10
-0.9,-4.8,75.0,27.0,32.0,16.1,100.52,-8.0,1,7,8,29,8
-1.3,-5.9,71.0,27.0,32.0,16.1,100.59,-8.0,1,9,10,28,8
-1.6,-5.8,73.0,25.0,30.0,16.1,100.64,-9.0,0,8,8,28,9
-1.5,-5.5,74.0,26.0,43.0,16.1,100.65,-10.0,0,9,9,29,9
-1.6,-5.4,76.0,26.0,37.0,16.1,100.74,-9.0,0,8,8,29,10
-1.7,-5.4,76.0,27.0,26.0,16.1,100.78,-8.0,0,9,9,27,10
-1.6,-5.4,75.0,26.0,34.0,16.1,100.79,-9.0,0,10,11,25,10
-1.7,-5.2,77.0,25.0,30.0,16.1,100.83,-9.0,0,9,10,25,10
-1.5,-6.9,67.0,26.0,30.0,16.1,100.8,-8.0,1,8,9,26,9
-2.1,-6.4,72.0,26.0,35.0,16.1,100.84,-10.0,3,13,16,22,9
-2.3,-6.6,73.0,25.0,30.0,16.1,100.82,-9.0,1,12,13,23,9
-2.4,-7.5,68.0,28.0,24.0,16.1,100.81,-9.0,0,9,9,27,8
-1.9,-7.7,65.0,26.0,18.0,16.1,100.8,-7.0,0,10,10,26,7
-1.5,-5.5,74.0,24.0,24.0,16.1,100.69,-8.0,0,11,12,22,9
-0.8,-3.6,81.0,23.0,34.0,16.1,100.63,-8.0,1,12,13,20,15
-0.8,-3.9,80.0,24.0,35.0,16.1,100.65,-8.0,1,9,9,25,14
-0.9,-4.8,75.0,23.0,30.0,16.1,100.58,-8.0,0,8,8,24,12
-0.7,-4.7,75.0,24.0,34.0,16.1,100.58,-8.0,2,13,15,20,12
-0.7,-4.6,75.0,25.0,32.0,16.1,100.6,-8.0,4,14,18,17,12
-0.4,-4.0,77.0,25.0,32.0,16.1,100.62,-7.0,3,15,18,17,11
-0.2,-3.7,78.0,24.0,30.0,16.1,100.61,-7.0,2,13,15,19,11
-0.1,-3.7,77.0,24.0,32.0,16.1,100.5,-7.0,2,13,16,19,11
0.3,-3.7,74.0,25.0,30.0,16.1,100.39,,3,14,17,19,10
0.6,-3.7,73.0,24.0,32.0,16.1,100.33,,4,15,19,20,10
0.7,-3.7,73.0,24.0,34.0,16.1,100.28,,2,12,14,23,9
0.7,-3.7,72.0,25.0,32.0,16.1,100.25,,2,13,15,23,9
0.5,-4.3,70.0,25.0,30.0,16.1,100.25,,2,13,14,23,10
0.6,-3.8,73.0,23.0,34.0,16.1,100.24,,1,11,12,23,11
0.8,-3.6,72.0,24.0,41.0,16.1,100.19,,1,11,12,24,10
1.2,-2.7,76.0,23.0,37.0,16.1,100.09,,0,9,9,25,9
1.7,-1.7,78.0,23.0,41.0,16.1,99.93,,0,9,9,25,9
1.8,-1.6,78.0,24.0,43.0,16.1,99.84,,2,11,13,23,8
1.9,-1.6,78.0,24.0,39.0,16.1,99.76,,1,11,12,23,6
1.9,-1.4,79.0,24.0,30.0,16.1,99.73,,4,16,20,18,6
2.0,-2.2,74.0,25.0,35.0,16.1,99.64,,3,13,16,21,7
1.6,-2.9,72.0,24.0,34.0,16.1,99.62,,4,15,19,18,9
1.5,-2.5,75.0,24.0,32.0,16.1,99.65,,9999,9999,9999,9999,9
1.5,-2.5,75.0,23.0,35.0,16.1,99.62,,1,10,11,21,10
1.5,-2.3,76.0,24.0,39.0,16.1,99.64,,1,11,12,22,10
1.7,-1.4,80.0,24.0,39.0,14.5,99.69,,2,12,13,22,10
