Date,Time,TEMP_MEAN,SO2,O3,CO,HUMIDITY,NO2,NO,WDIR_SCLR,RAD_TOTAL,WSPD_VECT,WSPD_SCLR,ATM_PRESS_1HR,WDIR_VECT,PM25,PRECIP_TOTAL,PM10
6/3/2016,24:00 AM,18.1,0.3,20.2,0.21,76.1,15.6,6,307.7,0,12.59,12.82,101.7,308.1,3.3,0,9.2
6/4/2016,1:00 AM,18.1,0.3,12.2,0.18,73,11.2,5.3,308.1,0,14.29,14.64,101.7,309,2.5,0,6.5
6/4/2016,2:00 AM,17.4,0.4,11.1,0.18,77.5,13.6,9.3,309,0,13.58,13.83,101.7,308.8,2.5,0,7.7
6/4/2016,3:00 AM,17,0.2,25.1,0.14,83.6,7.2,5.2,296.5,0,17.47,17.79,101.6,296.6,3.6,0,10.5
6/4/2016,4:00 AM,17,,,,80.5,,,301.9,0,16.62,17.04,101.6,301.8,3.2,0,6.9
6/4/2016,5:00 AM,16.6,0.3,15.4,0.17,85.7,12.1,6.9,303.6,9.9,17.01,17.36,101.6,303.6,3.7,0,10.5
6/4/2016,6:00 AM,16.6,0.3,16.8,0.19,86.4,9.8,2.7,302.2,115.7,17.41,17.84,101.6,302.2,3.4,0,9.3
6/4/2016,7:00 AM,16.9,0.3,17.1,0.17,85.6,6.1,3.4,302.3,264.6,17.66,18.07,101.6,302.1,3.5,0,9.4
6/4/2016,8:00 AM,17.1,0.3,17,0.18,83.9,5.4,3.3,299.8,414.5,21.28,21.72,101.6,299.3,2.8,0,8.4
6/4/2016,9:00 AM,17.6,0.3,17.4,0.2,80.5,4.6,2.8,295.6,561.3,22.09,22.54,101.7,295.2,2.3,0,8.3
6/4/2016,10:00 AM,18.2,0.3,17.6,0.16,78.2,3.7,2,302.3,690.1,20.4,20.83,101.6,302.3,2,0,8.2
6/4/2016,11:00 AM,18.9,0.4,19,0.17,74.7,4,2,303.3,779.7,22.13,22.63,101.6,303.1,2.1,0,8.5
6/4/2016,12:00 PM,19.8,0.5,18.3,0.16,71.3,4.5,2.7,304.1,840,22.37,22.87,101.6,304.1,2.2,0,8.2
6/4/2016,1:00 PM,20.6,0.5,17.9,0.17,67.2,4.8,2.9,304.5,849.1,23.08,23.62,101.5,304.3,2.1,0,7.3
6/4/2016,2:00 PM,21.4,0.5,17.7,0.17,64.3,5.2,3.2,303.2,819.4,21.99,22.53,101.5,303.2,1.9,0,5.9
6/4/2016,3:00 PM,21.7,0.4,17.2,0.15,61.8,4.3,2.7,307.3,745.9,22.36,23.01,101.4,307.4,1.9,0,7.7
6/4/2016,4:00 PM,22.3,0.3,17.5,0.15,58.6,4,2.4,310.8,632.6,23.41,23.84,101.3,310.7,1.8,0,5.5
6/4/2016,5:00 PM,22.6,0.3,16.9,0.15,57.4,4.7,2.7,309.5,494.3,23.34,23.8,101.2,309.4,1.8,0,7
6/4/2016,6:00 PM,22.6,0.4,15.3,0.15,57.6,7.4,4.3,310.1,341.4,22.6,23.06,101.1,309.8,2,0,5.3
6/4/2016,7:00 PM,22.4,0.7,17.1,0.19,58.5,8.5,3,312.9,192.2,19.37,19.77,101,312.8,2.2,0,6.2
6/4/2016,8:00 PM,21.5,0.4,17.4,0.18,64.2,8,0.9,315.4,58.9,19.65,19.99,100.9,315.4,2.3,0,7.6
6/4/2016,9:00 PM,21.3,0.3,16.5,0.15,62.4,10,0.4,318.9,0,17.91,18.24,100.9,318.6,2.6,0,5
6/4/2016,10:00 PM,22,0.3,13.7,0.18,59,12.6,0.3,312.9,0,13.45,13.75,100.9,314.3,3.1,0,6.6
6/4/2016,11:00 PM,21.3,0.3,4.9,0.22,64.2,22.5,2.5,306.9,0,7.75,8.14,100.9,305.6,3.1,0,12.6
6/4/2016,24:00 AM,21.7,0.6,10.4,0.22,62.1,14.6,1,296.9,0,9.85,10.24,100.9,298.3,3.1,0,8.5
6/5/2016,1:00 AM,19.9,0.2,6,0.17,68.9,14.5,0.6,305.4,0,5.27,5.47,100.8,304.2,4.5,0,13.4
6/5/2016,2:00 AM,19.2,0.3,8.2,0.21,70.3,12.3,3.3,293.1,0,8.9,9.66,100.8,289.9,4.3,0,9.8
6/5/2016,3:00 AM,18.3,0.1,9.7,0.15,76.8,9.1,0.3,312.7,0,7.74,8.01,100.8,311.7,4.8,0,9.5
6/5/2016,4:00 AM,18,0.1,11.8,0.15,81.7,7,0.3,311.8,0,9.88,10.1,100.8,311.7,4.4,0,9.6
6/5/2016,5:00 AM,17.7,0.1,11,0.16,82.4,7.7,1.2,311.8,21.1,7.75,8.03,100.8,311.1,4.3,0,8.1
6/5/2016,6:00 AM,18.1,0.3,9.2,0.23,76.5,11.8,4.1,318.8,123.3,5.34,5.71,100.8,319.5,4.9,0,9
6/5/2016,7:00 AM,18.9,0.3,14.3,0.17,72.5,4.9,2,309.9,238.3,14.44,14.75,100.8,309.8,4.4,0,10.2
6/5/2016,8:00 AM,19.4,0.4,14.6,0.18,71.4,5.9,3.1,305,363.7,14.14,14.49,100.9,304.8,4.5,0,8.9
6/5/2016,9:00 AM,20.1,0.4,17.1,0.18,68.8,5.4,2.9,307.3,556.8,16.7,17.01,100.9,307.4,5.2,0,9.4
6/5/2016,10:00 AM,20.9,0.5,19.2,0.19,65.6,6.7,3.7,303.5,735.8,16.37,16.75,100.9,303.6,5.2,0,9.6
6/5/2016,11:00 AM,21.8,0.8,21.5,0.22,62.9,6.8,3.2,300.7,768.5,16.5,16.95,100.9,301,5.4,0,9.9
6/5/2016,12:00 PM,23.3,0.7,23.4,0.2,56.5,6.1,2.6,296.8,808.7,14.82,15.26,100.9,296.2,5.2,0,11
6/5/2016,1:00 PM,24.2,0.8,24.5,0.19,52,7.7,3.3,292.8,811.7,15.48,15.75,100.8,292.6,4.9,0,7.8
6/5/2016,2:00 PM,24.4,0.5,26.8,0.17,50,4.5,1.5,296.2,776.9,16.03,16.4,100.8,295.9,4.7,0,8
6/5/2016,3:00 PM,25.6,0.6,26.7,0.17,45.3,5.5,1.8,294.6,691.1,13.1,13.55,100.8,295,4.3,0,6.5
6/5/2016,4:00 PM,26.1,0.7,27.9,0.19,44.6,6.4,1.9,280.9,560.4,12.02,12.39,100.7,280.5,4.2,0,9.3
