Site,Parameter,Year,Month,Day,Hour,Value
Beijing,PM2.5,2018,6,14,0,45
Beijing,PM2.5,2018,6,14,1,30
Beijing,PM2.5,2018,6,14,2,39
Beijing,PM2.5,2018,6,14,3,38
Beijing,PM2.5,2018,6,14,4,36
Beijing,PM2.5,2018,6,14,5,47
Beijing,PM2.5,2018,6,14,6,40
Beijing,PM2.5,2018,6,14,7,33
Beijing,PM2.5,2018,6,14,8,36
Beijing,PM2.5,2018,6,14,9,27
Beijing,PM2.5,2018,6,14,10,27
Beijing,PM2.5,2018,6,14,11,19
Beijing,PM2.5,2018,6,14,12,26
Beijing,PM2.5,2018,6,14,13,38
Beijing,PM2.5,2018,6,14,14,65
Beijing,PM2.5,2018,6,14,15,94
Beijing,PM2.5,2018,6,14,16,100
Beijing,PM2.5,2018,6,14,17,110
Beijing,PM2.5,2018,6,14,18,128
Beijing,PM2.5,2018,6,14,19,132
Beijing,PM2.5,2018,6,14,20,125
Beijing,PM2.5,2018,6,14,21,120
Beijing,PM2.5,2018,6,14,22,109
Beijing,PM2.5,2018,6,14,23,107
Beijing,PM2.5,2018,6,15,0,85
Beijing,PM2.5,2018,6,15,1,79
Beijing,PM2.5,2018,6,15,2,63
Beijing,PM2.5,2018,6,15,3,69
Beijing,PM2.5,2018,6,15,4,73
Beijing,PM2.5,2018,6,15,5,59
Beijing,PM2.6,2018,6,15,6,59
