Site,Parameter,Year,Month,Day,Hour,Value
Shenyang,PM2.5,2018,6,14,0,11
Shenyang,PM2.5,2018,6,14,1,17
Shenyang,PM2.5,2018,6,14,2,15
Shenyang,PM2.5,2018,6,14,3,8
Shenyang,PM2.5,2018,6,14,4,6
Shenyang,PM2.5,2018,6,14,5,12
Shenyang,PM2.5,2018,6,14,6,8
Shenyang,PM2.5,2018,6,14,7,4
Shenyang,PM2.5,2018,6,14,8,17
Shenyang,PM2.5,2018,6,14,9,18
Shenyang,PM2.5,2018,6,14,10,22
Shenyang,PM2.5,2018,6,14,11,26
Shenyang,PM2.5,2018,6,14,12,17
Shenyang,PM2.5,2018,6,14,13,9
Shenyang,PM2.5,2018,6,14,14,8
Shenyang,PM2.5,2018,6,14,15,7
Shenyang,PM2.5,2018,6,14,16,4
Shenyang,PM2.5,2018,6,14,17,9
Shenyang,PM2.5,2018,6,14,18,7
Shenyang,PM2.5,2018,6,14,19,7
Shenyang,PM2.5,2018,6,14,20,12
Shenyang,PM2.5,2018,6,14,21,11
Shenyang,PM2.5,2018,6,14,22,9
Shenyang,PM2.5,2018,6,14,23,16
Shenyang,PM2.5,2018,6,15,0,11
Shenyang,PM2.5,2018,6,15,1,7
Shenyang,PM2.5,2018,6,15,2,5
Shenyang,PM2.5,2018,6,15,3,16
Shenyang,PM2.5,2018,6,15,4,15
Shenyang,PM2.5,2018,6,15,5,8
Shenyang,PM2.6,2018,6,15,6,12
