,Date (LST),Value
0,1/1/2015 0:00,22
1,1/1/2015 1:00,9
2,1/1/2015 2:00,9
3,1/1/2015 3:00,13
4,1/1/2015 4:00,10
5,1/1/2015 5:00,6
6,1/1/2015 6:00,8
7,1/1/2015 7:00,17
8,1/1/2015 8:00,11
9,1/1/2015 9:00,33
10,1/1/2015 10:00,37
11,1/1/2015 11:00,40
12,1/1/2015 12:00,63
13,1/1/2015 13:00,62
14,1/1/2015 14:00,44
15,1/1/2015 15:00,48
16,1/1/2015 16:00,51
17,1/1/2015 17:00,82
18,1/1/2015 18:00,87
19,1/1/2015 19:00,106
20,1/1/2015 20:00,123
21,1/1/2015 21:00,136
22,1/1/2015 22:00,139
23,1/1/2015 23:00,154
24,1/2/2015 0:00,126
25,1/2/2015 1:00,98
26,1/2/2015 2:00,66
27,1/2/2015 3:00,45
28,1/2/2015 4:00,28
29,1/2/2015 5:00,12
30,1/2/2015 6:00,12
31,1/2/2015 7:00,16
32,1/2/2015 8:00,13
33,1/2/2015 9:00,24
34,1/2/2015 10:00,34
35,1/2/2015 11:00,13
36,1/2/2015 12:00,19
37,1/2/2015 13:00,26
38,1/2/2015 14:00,26
39,1/2/2015 15:00,41
40,1/2/2015 16:00,85
41,1/2/2015 17:00,108
42,1/2/2015 18:00,87
43,1/2/2015 19:00,102
44,1/2/2015 20:00,117
45,1/2/2015 21:00,125
46,1/2/2015 22:00,145
47,1/2/2015 23:00,157
48,1/3/2015 0:00,163
49,1/3/2015 1:00,176
50,1/3/2015 2:00,193
51,1/3/2015 3:00,198
52,1/3/2015 4:00,214
53,1/3/2015 5:00,222
54,1/3/2015 6:00,209
55,1/3/2015 7:00,201
56,1/3/2015 8:00,179
57,1/3/2015 9:00,169
58,1/3/2015 10:00,147
59,1/3/2015 11:00,158
60,1/3/2015 12:00,170
61,1/3/2015 13:00,182
62,1/3/2015 14:00,172
63,1/3/2015 15:00,178
64,1/3/2015 16:00,193
65,1/3/2015 17:00,214
66,1/3/2015 18:00,241
67,1/3/2015 19:00,262
68,1/3/2015 20:00,264
69,1/3/2015 21:00,305
70,1/3/2015 22:00,290
71,1/3/2015 23:00,322
72,1/4/2015 0:00,272
73,1/4/2015 1:00,247
74,1/4/2015 2:00,241
75,1/4/2015 3:00,206
76,1/4/2015 4:00,163
77,1/4/2015 5:00,137
78,1/4/2015 6:00,144
79,1/4/2015 7:00,166
80,1/4/2015 8:00,160
81,1/4/2015 9:00,115
82,1/4/2015 10:00,106
83,1/4/2015 11:00,107
84,1/4/2015 12:00,112
85,1/4/2015 13:00,114
86,1/4/2015 14:00,158
87,1/4/2015 15:00,176
88,1/4/2015 16:00,195
89,1/4/2015 17:00,225
90,1/4/2015 18:00,269
91,1/4/2015 19:00,305
92,1/4/2015 20:00,360
93,1/4/2015 21:00,279
94,1/4/2015 22:00,321
95,1/4/2015 23:00,250
96,1/5/2015 0:00,171
97,1/5/2015 1:00,146
98,1/5/2015 2:00,150
99,1/5/2015 3:00,142
100,1/5/2015 4:00,148
101,1/5/2015 5:00,186
102,1/5/2015 6:00,178
103,1/5/2015 7:00,153
104,1/5/2015 8:00,159
105,1/5/2015 9:00,185
106,1/5/2015 10:00,181
107,1/5/2015 11:00,139
108,1/5/2015 12:00,36
109,1/5/2015 13:00,22
110,1/5/2015 14:00,14
111,1/5/2015 15:00,15
112,1/5/2015 16:00,12
113,1/5/2015 17:00,9
114,1/5/2015 18:00,25
115,1/5/2015 19:00,29
116,1/5/2015 20:00,27
117,1/5/2015 21:00,23
118,1/5/2015 22:00,15
119,1/5/2015 23:00,16
120,1/6/2015 0:00,16
121,1/6/2015 1:00,15
122,1/6/2015 2:00,16
123,1/6/2015 3:00,20
124,1/6/2015 4:00,10
125,1/6/2015 5:00,17
126,1/6/2015 6:00,16
127,1/6/2015 7:00,22
128,1/6/2015 8:00,23
129,1/6/2015 9:00,17
130,1/6/2015 10:00,23
131,1/6/2015 11:00,13
132,1/6/2015 12:00,17
133,1/6/2015 13:00,32
134,1/6/2015 14:00,36
135,1/6/2015 15:00,41
136,1/6/2015 16:00,54
137,1/6/2015 17:00,64
138,1/6/2015 18:00,61
139,1/6/2015 19:00,92
140,1/6/2015 20:00,102
141,1/6/2015 21:00,96
142,1/6/2015 22:00,112
143,1/6/2015 23:00,121
144,1/7/2015 0:00,134
145,1/7/2015 1:00,159
146,1/7/2015 2:00,109
147,1/7/2015 3:00,57
148,1/7/2015 4:00,30
149,1/7/2015 5:00,20
150,1/7/2015 6:00,29
151,1/7/2015 7:00,29
152,1/7/2015 8:00,41
153,1/7/2015 9:00,51
154,1/7/2015 10:00,68
155,1/7/2015 11:00,74
156,1/7/2015 12:00,58
157,1/7/2015 13:00,59
158,1/7/2015 14:00,73
159,1/7/2015 15:00,74
160,1/7/2015 16:00,84
161,1/7/2015 17:00,94
162,1/7/2015 18:00,85
163,1/7/2015 19:00,85
164,1/7/2015 20:00,107
165,1/7/2015 21:00,109
166,1/7/2015 22:00,74
167,1/7/2015 23:00,65
168,1/8/2015 0:00,78
169,1/8/2015 1:00,66
