,Date (LST),Value
0,1/1/2016 0:00,240
1,1/1/2016 1:00,221
2,1/1/2016 2:00,204
3,1/1/2016 3:00,190
4,1/1/2016 4:00,195
5,1/1/2016 5:00,196
6,1/1/2016 6:00,190
7,1/1/2016 7:00,206
8,1/1/2016 8:00,207
9,1/1/2016 9:00,210
10,1/1/2016 10:00,205
11,1/1/2016 11:00,206
12,1/1/2016 12:00,209
13,1/1/2016 13:00,200
14,1/1/2016 14:00,184
15,1/1/2016 15:00,148
16,1/1/2016 16:00,121
17,1/1/2016 17:00,131
18,1/1/2016 18:00,139
19,1/1/2016 19:00,153
20,1/1/2016 20:00,183
21,1/1/2016 21:00,177
22,1/1/2016 22:00,211
23,1/1/2016 23:00,209
24,1/2/2016 0:00,227
25,1/2/2016 1:00,224
26,1/2/2016 2:00,226
27,1/2/2016 3:00,226
28,1/2/2016 4:00,213
29,1/2/2016 5:00,210
30,1/2/2016 6:00,211
31,1/2/2016 7:00,197
32,1/2/2016 8:00,189
33,1/2/2016 9:00,203
34,1/2/2016 10:00,209
35,1/2/2016 11:00,210
36,1/2/2016 12:00,180
37,1/2/2016 13:00,162
38,1/2/2016 14:00,144
39,1/2/2016 15:00,132
40,1/2/2016 16:00,118
41,1/2/2016 17:00,132
42,1/2/2016 18:00,143
43,1/2/2016 19:00,138
44,1/2/2016 20:00,115
45,1/2/2016 21:00,117
46,1/2/2016 22:00,128
47,1/2/2016 23:00,126
48,1/3/2016 0:00,121
49,1/3/2016 1:00,132
50,1/3/2016 2:00,134
51,1/3/2016 3:00,117
52,1/3/2016 4:00,111
53,1/3/2016 5:00,97
54,1/3/2016 6:00,104
55,1/3/2016 7:00,146
56,1/3/2016 8:00,165
57,1/3/2016 9:00,167
58,1/3/2016 10:00,172
59,1/3/2016 11:00,152
60,1/3/2016 12:00,155
61,1/3/2016 13:00,141
62,1/3/2016 14:00,125
63,1/3/2016 15:00,132
64,1/3/2016 16:00,128
65,1/3/2016 17:00,130
66,1/3/2016 18:00,143
67,1/3/2016 19:00,158
68,1/3/2016 20:00,167
69,1/3/2016 21:00,145
70,1/3/2016 22:00,144
71,1/3/2016 23:00,163
72,1/4/2016 0:00,183
73,1/4/2016 1:00,178
74,1/4/2016 2:00,164
75,1/4/2016 3:00,176
76,1/4/2016 4:00,174
77,1/4/2016 5:00,176
78,1/4/2016 6:00,189
79,1/4/2016 7:00,222
80,1/4/2016 8:00,233
81,1/4/2016 9:00,244
82,1/4/2016 10:00,248
83,1/4/2016 11:00,246
84,1/4/2016 12:00,219
85,1/4/2016 13:00,162
86,1/4/2016 14:00,112
87,1/4/2016 15:00,100
88,1/4/2016 16:00,83
89,1/4/2016 17:00,98
90,1/4/2016 18:00,129
91,1/4/2016 19:00,146
92,1/4/2016 20:00,140
93,1/4/2016 21:00,136
94,1/4/2016 22:00,121
95,1/4/2016 23:00,125
96,1/5/2016 0:00,122
97,1/5/2016 1:00,130
98,1/5/2016 2:00,134
99,1/5/2016 3:00,166
100,1/5/2016 4:00,178
101,1/5/2016 5:00,189
102,1/5/2016 6:00,201
103,1/5/2016 7:00,222
104,1/5/2016 8:00,195
105,1/5/2016 9:00,191
106,1/5/2016 10:00,194
107,1/5/2016 11:00,215
108,1/5/2016 12:00,222
109,1/5/2016 13:00,184
110,1/5/2016 14:00,175
111,1/5/2016 15:00,164
112,1/5/2016 16:00,177
113,1/5/2016 17:00,172
114,1/5/2016 18:00,165
115,1/5/2016 19:00,157
116,1/5/2016 20:00,156
117,1/5/2016 21:00,150
118,1/5/2016 22:00,150
119,1/5/2016 23:00,141
120,1/6/2016 0:00,139
121,1/6/2016 1:00,152
122,1/6/2016 2:00,135
123,1/6/2016 3:00,130
124,1/6/2016 4:00,139
125,1/6/2016 5:00,150
126,1/6/2016 6:00,161
127,1/6/2016 7:00,170
128,1/6/2016 8:00,173
129,1/6/2016 9:00,174
130,1/6/2016 10:00,177
131,1/6/2016 11:00,163
132,1/6/2016 12:00,154
133,1/6/2016 13:00,221
134,1/6/2016 14:00,211
135,1/6/2016 15:00,212
136,1/6/2016 16:00,217
137,1/6/2016 17:00,156
138,1/6/2016 18:00,215
139,1/6/2016 19:00,214
140,1/6/2016 20:00,196
141,1/6/2016 21:00,184
142,1/6/2016 22:00,179
143,1/6/2016 23:00,152
144,1/7/2016 0:00,67
145,1/7/2016 1:00,92
146,1/7/2016 2:00,67
147,1/7/2016 3:00,55
148,1/7/2016 4:00,59
149,1/7/2016 5:00,47
150,1/7/2016 6:00,54
151,1/7/2016 7:00,46
152,1/7/2016 8:00,44
153,1/7/2016 9:00,63
154,1/7/2016 10:00,68
155,1/7/2016 11:00,71
156,1/7/2016 12:00,67
157,1/7/2016 13:00,65
158,1/7/2016 14:00,71
159,1/7/2016 15:00,71
160,1/7/2016 16:00,85
161,1/7/2016 17:00,89
162,1/7/2016 18:00,92
163,1/7/2016 19:00,99
164,1/7/2016 20:00,105
165,1/7/2016 21:00,111
166,1/7/2016 22:00,101
167,1/7/2016 23:00,100
168,1/8/2016 0:00,100
169,1/8/2016 1:00,72
170,1/8/2016 2:00,66
171,1/8/2016 3:00,62
172,1/8/2016 4:00,59
173,1/8/2016 5:00,58
174,1/8/2016 6:00,153
175,1/8/2016 7:00,132
176,1/8/2016 8:00,106
177,1/8/2016 9:00,89
178,1/8/2016 10:00,74
179,1/8/2016 11:00,77
180,1/8/2016 12:00,84
181,1/8/2016 13:00,78
182,1/8/2016 14:00,105
183,1/8/2016 15:00,160
184,1/8/2016 16:00,134
185,1/8/2016 17:00,96
186,1/8/2016 18:00,71
187,1/8/2016 19:00,77
188,1/8/2016 20:00,67
189,1/8/2016 21:00,59
190,1/8/2016 22:00,65
191,1/8/2016 23:00,73
192,1/9/2016 0:00,77
193,1/9/2016 1:00,81
194,1/9/2016 2:00,73
195,1/9/2016 3:00,75
196,1/9/2016 4:00,67
197,1/9/2016 5:00,82
198,1/9/2016 6:00,78
199,1/9/2016 7:00,88
200,1/9/2016 8:00,89
201,1/9/2016 9:00,89
202,1/9/2016 10:00,90
203,1/9/2016 11:00,116
204,1/9/2016 12:00,140
205,1/9/2016 13:00,122
206,1/9/2016 14:00,84
207,1/9/2016 15:00,55
208,1/9/2016 16:00,61
209,1/9/2016 17:00,68
210,1/9/2016 18:00,66
211,1/9/2016 19:00,69
212,1/9/2016 20:00,66
213,1/9/2016 21:00,73
214,1/9/2016 22:00,73
215,1/9/2016 23:00,76
216,1/10/2016 0:00,73
217,1/10/2016 1:00,91
218,1/10/2016 2:00,91
219,1/10/2016 3:00,83
220,1/10/2016 4:00,59
221,1/10/2016 5:00,69
222,1/10/2016 6:00,55
223,1/10/2016 7:00,55
224,1/10/2016 8:00,57
225,1/10/2016 9:00,58
226,1/10/2016 10:00,60
227,1/10/2016 11:00,67
228,1/10/2016 12:00,68
229,1/10/2016 13:00,77
230,1/10/2016 14:00,77
231,1/10/2016 15:00,50
232,1/10/2016 16:00,57
233,1/10/2016 17:00,62
234,1/10/2016 18:00,65
235,1/10/2016 19:00,64
236,1/10/2016 20:00,62
237,1/10/2016 21:00,66
238,1/10/2016 22:00,62
239,1/10/2016 23:00,56
240,1/11/2016 0:00,56
241,1/11/2016 1:00,54
242,1/11/2016 2:00,51
243,1/11/2016 3:00,58
244,1/11/2016 4:00,69
245,1/11/2016 5:00,70
246,1/11/2016 6:00,67
247,1/11/2016 7:00,79
248,1/11/2016 8:00,76
249,1/11/2016 9:00,75
250,1/11/2016 10:00,88
251,1/11/2016 11:00,75
252,1/11/2016 12:00,59
253,1/11/2016 13:00,59
254,1/11/2016 14:00,64
255,1/11/2016 15:00,58
256,1/11/2016 16:00,66
257,1/11/2016 17:00,68
258,1/11/2016 18:00,60
259,1/11/2016 19:00,57
260,1/11/2016 20:00,44
261,1/11/2016 21:00,32
262,1/11/2016 22:00,31
263,1/11/2016 23:00,37
264,1/12/2016 0:00,38
265,1/12/2016 1:00,45
266,1/12/2016 2:00,62
267,1/12/2016 3:00,68
268,1/12/2016 4:00,63
269,1/12/2016 5:00,49
270,1/12/2016 6:00,50
271,1/12/2016 7:00,56
272,1/12/2016 8:00,64
273,1/12/2016 9:00,57
274,1/12/2016 10:00,57
275,1/12/2016 11:00,62
276,1/12/2016 12:00,69
277,1/12/2016 13:00,69
278,1/12/2016 14:00,63
279,1/12/2016 15:00,57
280,1/12/2016 16:00,62
281,1/12/2016 17:00,62
282,1/12/2016 18:00,52
283,1/12/2016 19:00,52
284,1/12/2016 20:00,52
285,1/12/2016 21:00,45
286,1/12/2016 22:00,42
287,1/12/2016 23:00,40
288,1/13/2016 0:00,29
289,1/13/2016 1:00,38
290,1/13/2016 2:00,41
291,1/13/2016 3:00,36
292,1/13/2016 4:00,39
293,1/13/2016 5:00,37
294,1/13/2016 6:00,38
295,1/13/2016 7:00,39
296,1/13/2016 8:00,47
297,1/13/2016 9:00,54
298,1/13/2016 10:00,62
299,1/13/2016 11:00,63
300,1/13/2016 12:00,62
301,1/13/2016 13:00,64
302,1/13/2016 14:00,60
303,1/13/2016 15:00,62
304,1/13/2016 16:00,64
305,1/13/2016 17:00,68
306,1/13/2016 18:00,73
307,1/13/2016 19:00,78
308,1/13/2016 20:00,76
309,1/13/2016 21:00,77
310,1/13/2016 22:00,79
311,1/13/2016 23:00,88
312,1/14/2016 0:00,74
313,1/14/2016 1:00,71
314,1/14/2016 2:00,80
315,1/14/2016 3:00,79
316,1/14/2016 4:00,76
317,1/14/2016 5:00,94
318,1/14/2016 6:00,90
319,1/14/2016 7:00,76
320,1/14/2016 8:00,85
321,1/14/2016 9:00,85
322,1/14/2016 10:00,83
323,1/14/2016 11:00,76
324,1/14/2016 12:00,78
325,1/14/2016 13:00,58
326,1/14/2016 14:00,71
327,1/14/2016 15:00,67
328,1/14/2016 16:00,66
329,1/14/2016 17:00,60
330,1/14/2016 18:00,71
331,1/14/2016 19:00,79
332,1/14/2016 20:00,86
333,1/14/2016 21:00,87
334,1/14/2016 22:00,94
335,1/14/2016 23:00,89
336,1/15/2016 0:00,83
337,1/15/2016 1:00,88
338,1/15/2016 2:00,82
339,1/15/2016 3:00,76
340,1/15/2016 4:00,79
341,1/15/2016 5:00,84
342,1/15/2016 6:00,84
343,1/15/2016 7:00,89
344,1/15/2016 8:00,92
345,1/15/2016 9:00,78
346,1/15/2016 10:00,82
347,1/15/2016 11:00,73
348,1/15/2016 12:00,73
349,1/15/2016 13:00,84
350,1/15/2016 14:00,81
351,1/15/2016 15:00,82
352,1/15/2016 16:00,75
353,1/15/2016 17:00,76
354,1/15/2016 18:00,63
355,1/15/2016 19:00,63
356,1/15/2016 20:00,63
357,1/15/2016 21:00,63
358,1/15/2016 22:00,63
359,1/15/2016 23:00,63
360,1/16/2016 0:00,63
361,1/16/2016 1:00,63
362,1/16/2016 2:00,63
363,1/16/2016 3:00,63
364,1/16/2016 4:00,63
365,1/16/2016 5:00,63
366,1/16/2016 6:00,63
367,1/16/2016 7:00,63
368,1/16/2016 8:00,63
369,1/16/2016 9:00,63
370,1/16/2016 10:00,63
371,1/16/2016 11:00,50
372,1/16/2016 12:00,38
373,1/16/2016 13:00,46
374,1/16/2016 14:00,52
375,1/16/2016 15:00,48
376,1/16/2016 16:00,49
377,1/16/2016 17:00,47
378,1/16/2016 18:00,52
379,1/16/2016 19:00,55
380,1/16/2016 20:00,73
381,1/16/2016 21:00,86
382,1/16/2016 22:00,91
383,1/16/2016 23:00,91
384,1/17/2016 0:00,89
385,1/17/2016 1:00,78
386,1/17/2016 2:00,88
387,1/17/2016 3:00,84
388,1/17/2016 4:00,80
389,1/17/2016 5:00,74
390,1/17/2016 6:00,80
391,1/17/2016 7:00,95
392,1/17/2016 8:00,112
393,1/17/2016 9:00,110
394,1/17/2016 10:00,120
395,1/17/2016 11:00,98
396,1/17/2016 12:00,59
397,1/17/2016 13:00,50
398,1/17/2016 14:00,59
399,1/17/2016 15:00,68
400,1/17/2016 16:00,59
401,1/17/2016 17:00,65
402,1/17/2016 18:00,102
403,1/17/2016 19:00,97
404,1/17/2016 20:00,90
405,1/17/2016 21:00,96
406,1/17/2016 22:00,102
407,1/17/2016 23:00,99
408,1/18/2016 0:00,73
409,1/18/2016 1:00,67
410,1/18/2016 2:00,69
411,1/18/2016 3:00,79
412,1/18/2016 4:00,94
413,1/18/2016 5:00,115
414,1/18/2016 6:00,108
415,1/18/2016 7:00,105
416,1/18/2016 8:00,101
417,1/18/2016 9:00,94
418,1/18/2016 10:00,88
419,1/18/2016 11:00,98
420,1/18/2016 12:00,91
421,1/18/2016 13:00,90
422,1/18/2016 14:00,87
423,1/18/2016 15:00,88
424,1/18/2016 16:00,84
425,1/18/2016 17:00,77
426,1/18/2016 18:00,89
427,1/18/2016 19:00,110
428,1/18/2016 20:00,105
429,1/18/2016 21:00,114
430,1/18/2016 22:00,161
431,1/18/2016 23:00,138
432,1/19/2016 0:00,137
433,1/19/2016 1:00,136
434,1/19/2016 2:00,153
435,1/19/2016 3:00,144
436,1/19/2016 4:00,141
437,1/19/2016 5:00,138
438,1/19/2016 6:00,144
439,1/19/2016 7:00,152
440,1/19/2016 8:00,152
441,1/19/2016 9:00,159
442,1/19/2016 10:00,154
443,1/19/2016 11:00,174
444,1/19/2016 12:00,178
445,1/19/2016 13:00,180
446,1/19/2016 14:00,178
447,1/19/2016 15:00,188
448,1/19/2016 16:00,185
449,1/19/2016 17:00,175
450,1/19/2016 18:00,126
451,1/19/2016 19:00,122
452,1/19/2016 20:00,129
453,1/19/2016 21:00,134
454,1/19/2016 22:00,144
455,1/19/2016 23:00,133
456,1/20/2016 0:00,128
457,1/20/2016 1:00,92
458,1/20/2016 2:00,54
459,1/20/2016 3:00,64
460,1/20/2016 4:00,55
461,1/20/2016 5:00,47
462,1/20/2016 6:00,46
463,1/20/2016 7:00,49
464,1/20/2016 8:00,49
465,1/20/2016 9:00,52
466,1/20/2016 10:00,66
467,1/20/2016 11:00,59
468,1/20/2016 12:00,47
469,1/20/2016 13:00,46
470,1/20/2016 14:00,47
471,1/20/2016 15:00,49
472,1/20/2016 16:00,49
473,1/20/2016 17:00,51
474,1/20/2016 18:00,53
475,1/20/2016 19:00,57
476,1/20/2016 20:00,60
477,1/20/2016 21:00,70
478,1/20/2016 22:00,69
479,1/20/2016 23:00,81
480,1/21/2016 0:00,65
481,1/21/2016 1:00,52
482,1/21/2016 2:00,35
483,1/21/2016 3:00,36
484,1/21/2016 4:00,31
485,1/21/2016 5:00,34
486,1/21/2016 6:00,35
487,1/21/2016 7:00,50
488,1/21/2016 8:00,51
489,1/21/2016 9:00,56
490,1/21/2016 10:00,63
491,1/21/2016 11:00,51
492,1/21/2016 12:00,51
493,1/21/2016 13:00,45
494,1/21/2016 14:00,41
495,1/21/2016 15:00,47
496,1/21/2016 16:00,48
497,1/21/2016 17:00,58
498,1/21/2016 18:00,54
499,1/21/2016 19:00,59
500,1/21/2016 20:00,60
501,1/21/2016 21:00,59
502,1/21/2016 22:00,57
503,1/21/2016 23:00,56
504,1/22/2016 0:00,44
505,1/22/2016 1:00,59
506,1/22/2016 2:00,53
507,1/22/2016 3:00,59
508,1/22/2016 4:00,58
509,1/22/2016 5:00,54
510,1/22/2016 6:00,66
511,1/22/2016 7:00,70
512,1/22/2016 8:00,76
513,1/22/2016 9:00,78
514,1/22/2016 10:00,75
515,1/22/2016 11:00,74
516,1/22/2016 12:00,54
517,1/22/2016 13:00,48
518,1/22/2016 14:00,38
519,1/22/2016 15:00,37
520,1/22/2016 16:00,30
521,1/22/2016 17:00,40
522,1/22/2016 18:00,33
523,1/22/2016 19:00,39
524,1/22/2016 20:00,22
525,1/22/2016 21:00,21
526,1/22/2016 22:00,20
527,1/22/2016 23:00,18
528,1/23/2016 0:00,15
529,1/23/2016 1:00,12
530,1/23/2016 2:00,18
531,1/23/2016 3:00,21
532,1/23/2016 4:00,11
533,1/23/2016 5:00,15
534,1/23/2016 6:00,17
535,1/23/2016 7:00,17
536,1/23/2016 8:00,18
537,1/23/2016 9:00,16
538,1/23/2016 10:00,18
539,1/23/2016 11:00,19
540,1/23/2016 12:00,17
541,1/23/2016 13:00,16
542,1/23/2016 14:00,17
543,1/23/2016 15:00,22
544,1/23/2016 16:00,26
545,1/23/2016 17:00,28
546,1/23/2016 18:00,34
547,1/23/2016 19:00,40
548,1/23/2016 20:00,38
549,1/23/2016 21:00,40
550,1/23/2016 22:00,38
551,1/23/2016 23:00,47
552,1/24/2016 0:00,44
553,1/24/2016 1:00,46
554,1/24/2016 2:00,50
555,1/24/2016 3:00,51
556,1/24/2016 4:00,47
557,1/24/2016 5:00,50
558,1/24/2016 6:00,50
559,1/24/2016 7:00,61
560,1/24/2016 8:00,67
561,1/24/2016 9:00,73
562,1/24/2016 10:00,46
563,1/24/2016 11:00,29
564,1/24/2016 12:00,27
565,1/24/2016 13:00,30
566,1/24/2016 14:00,22
567,1/24/2016 15:00,23
568,1/24/2016 16:00,27
569,1/24/2016 17:00,28
570,1/24/2016 18:00,24
571,1/24/2016 19:00,33
572,1/24/2016 20:00,47
573,1/24/2016 21:00,44
574,1/24/2016 22:00,52
575,1/24/2016 23:00,66
576,1/25/2016 0:00,63
577,1/25/2016 1:00,54
578,1/25/2016 2:00,62
579,1/25/2016 3:00,61
