,Date (LST),Value
0,1/1/2016 0:00,60
1,1/1/2016 1:00,65
2,1/1/2016 2:00,57
3,1/1/2016 3:00,59
4,1/1/2016 4:00,55
5,1/1/2016 5:00,61
6,1/1/2016 6:00,58
7,1/1/2016 7:00,59
8,1/1/2016 8:00,63
9,1/1/2016 9:00,72
10,1/1/2016 10:00,56
11,1/1/2016 11:00,46
12,1/1/2016 12:00,48
13,1/1/2016 13:00,55
14,1/1/2016 14:00,45
15,1/1/2016 15:00,44
16,1/1/2016 16:00,48
17,1/1/2016 17:00,53
18,1/1/2016 18:00,72
19,1/1/2016 19:00,71
20,1/1/2016 20:00,70
21,1/1/2016 21:00,69
22,1/1/2016 22:00,69
23,1/1/2016 23:00,67
24,1/2/2016 0:00,64
25,1/2/2016 1:00,66
26,1/2/2016 2:00,65
27,1/2/2016 3:00,67
28,1/2/2016 4:00,69
29,1/2/2016 5:00,70
30,1/2/2016 6:00,77
31,1/2/2016 7:00,97
32,1/2/2016 8:00,128
33,1/2/2016 9:00,147
34,1/2/2016 10:00,145
35,1/2/2016 11:00,137
36,1/2/2016 12:00,119
37,1/2/2016 13:00,79
38,1/2/2016 14:00,78
39,1/2/2016 15:00,70
40,1/2/2016 16:00,73
41,1/2/2016 17:00,92
42,1/2/2016 18:00,88
43,1/2/2016 19:00,100
44,1/2/2016 20:00,126
45,1/2/2016 21:00,111
46,1/2/2016 22:00,115
47,1/2/2016 23:00,116
48,1/3/2016 0:00,112
49,1/3/2016 1:00,127
50,1/3/2016 2:00,134
51,1/3/2016 3:00,151
52,1/3/2016 4:00,156
53,1/3/2016 5:00,153
54,1/3/2016 6:00,152
55,1/3/2016 7:00,144
56,1/3/2016 8:00,144
57,1/3/2016 9:00,143
58,1/3/2016 10:00,135
59,1/3/2016 11:00,139
60,1/3/2016 12:00,141
61,1/3/2016 13:00,135
62,1/3/2016 14:00,127
63,1/3/2016 15:00,132
64,1/3/2016 16:00,124
65,1/3/2016 17:00,118
66,1/3/2016 18:00,131
67,1/3/2016 19:00,141
68,1/3/2016 20:00,167
69,1/3/2016 21:00,163
70,1/3/2016 22:00,148
71,1/3/2016 23:00,136
72,1/4/2016 0:00,132
73,1/4/2016 1:00,131
74,1/4/2016 2:00,121
75,1/4/2016 3:00,123
76,1/4/2016 4:00,114
77,1/4/2016 5:00,107
78,1/4/2016 6:00,127
79,1/4/2016 7:00,136
80,1/4/2016 8:00,138
81,1/4/2016 9:00,132
82,1/4/2016 10:00,113
83,1/4/2016 11:00,126
84,1/4/2016 12:00,111
85,1/4/2016 13:00,118
86,1/4/2016 14:00,132
87,1/4/2016 15:00,135
88,1/4/2016 16:00,147
89,1/4/2016 17:00,143
90,1/4/2016 18:00,115
91,1/4/2016 19:00,108
92,1/4/2016 20:00,109
93,1/4/2016 21:00,114
94,1/4/2016 22:00,95
95,1/4/2016 23:00,66
96,1/5/2016 0:00,57
97,1/5/2016 1:00,37
98,1/5/2016 2:00,30
99,1/5/2016 3:00,35
100,1/5/2016 4:00,23
101,1/5/2016 5:00,10
102,1/5/2016 6:00,18
103,1/5/2016 7:00,23
