,Date (LST),Value
0,1/1/2016 0:00,218
1,1/1/2016 1:00,170
2,1/1/2016 2:00,93
3,1/1/2016 3:00,83
4,1/1/2016 4:00,97
5,1/1/2016 5:00,105
6,1/1/2016 6:00,128
7,1/1/2016 7:00,134
8,1/1/2016 8:00,129
9,1/1/2016 9:00,128
10,1/1/2016 10:00,114
11,1/1/2016 11:00,118
12,1/1/2016 12:00,116
13,1/1/2016 13:00,120
14,1/1/2016 14:00,131
15,1/1/2016 15:00,122
16,1/1/2016 16:00,125
17,1/1/2016 17:00,107
18,1/1/2016 18:00,113
19,1/1/2016 19:00,129
20,1/1/2016 20:00,119
21,1/1/2016 21:00,119
22,1/1/2016 22:00,137
23,1/1/2016 23:00,156
24,1/2/2016 0:00,156
25,1/2/2016 1:00,152
26,1/2/2016 2:00,160
27,1/2/2016 3:00,149
28,1/2/2016 4:00,145
29,1/2/2016 5:00,163
30,1/2/2016 6:00,184
31,1/2/2016 7:00,199
32,1/2/2016 8:00,170
33,1/2/2016 9:00,113
34,1/2/2016 10:00,129
35,1/2/2016 11:00,142
36,1/2/2016 12:00,124
37,1/2/2016 13:00,142
38,1/2/2016 14:00,148
39,1/2/2016 15:00,116
40,1/2/2016 16:00,129
41,1/2/2016 17:00,180
42,1/2/2016 18:00,151
43,1/2/2016 19:00,132
44,1/2/2016 20:00,132
45,1/2/2016 21:00,122
46,1/2/2016 22:00,132
47,1/2/2016 23:00,142
48,1/3/2016 0:00,135
49,1/3/2016 1:00,114
50,1/3/2016 2:00,112
51,1/3/2016 3:00,113
52,1/3/2016 4:00,114
53,1/3/2016 5:00,119
54,1/3/2016 6:00,112
55,1/3/2016 7:00,112
56,1/3/2016 8:00,107
57,1/3/2016 9:00,95
58,1/3/2016 10:00,119
59,1/3/2016 11:00,102
60,1/3/2016 12:00,130
61,1/3/2016 13:00,63
62,1/3/2016 14:00,60
63,1/3/2016 15:00,62
64,1/3/2016 16:00,64
65,1/3/2016 17:00,74
66,1/3/2016 18:00,90
67,1/3/2016 19:00,89
68,1/3/2016 20:00,79
69,1/3/2016 21:00,83
70,1/3/2016 22:00,81
71,1/3/2016 23:00,99
72,1/4/2016 0:00,76
73,1/4/2016 1:00,71
74,1/4/2016 2:00,130
75,1/4/2016 3:00,83
76,1/4/2016 4:00,55
77,1/4/2016 5:00,56
78,1/4/2016 6:00,58
79,1/4/2016 7:00,59
80,1/4/2016 8:00,85
81,1/4/2016 9:00,79
82,1/4/2016 10:00,77
83,1/4/2016 11:00,89
84,1/4/2016 12:00,58
85,1/4/2016 13:00,56
86,1/4/2016 14:00,31
87,1/4/2016 15:00,22
88,1/4/2016 16:00,25
89,1/4/2016 17:00,27
90,1/4/2016 18:00,33
91,1/4/2016 19:00,42
92,1/4/2016 20:00,37
93,1/4/2016 21:00,50
94,1/4/2016 22:00,55
95,1/4/2016 23:00,62
96,1/5/2016 0:00,53
97,1/5/2016 1:00,40
98,1/5/2016 2:00,42
99,1/5/2016 3:00,32
100,1/5/2016 4:00,25
101,1/5/2016 5:00,31
102,1/5/2016 6:00,26
103,1/5/2016 7:00,32
104,1/5/2016 8:00,26
105,1/5/2016 9:00,28
106,1/5/2016 10:00,29
107,1/5/2016 11:00,41
108,1/5/2016 12:00,37
109,1/5/2016 13:00,19
110,1/5/2016 14:00,24
111,1/5/2016 15:00,29
112,1/5/2016 16:00,43
113,1/5/2016 17:00,61
114,1/5/2016 18:00,82
115,1/5/2016 19:00,96
116,1/5/2016 20:00,107
117,1/5/2016 21:00,94
118,1/5/2016 22:00,80
119,1/5/2016 23:00,65
120,1/6/2016 0:00,56
121,1/6/2016 1:00,50
122,1/6/2016 2:00,58
123,1/6/2016 3:00,69
124,1/6/2016 4:00,78
125,1/6/2016 5:00,53
126,1/6/2016 6:00,46
127,1/6/2016 7:00,52
128,1/6/2016 8:00,49
129,1/6/2016 9:00,42
130,1/6/2016 10:00,28
131,1/6/2016 11:00,29
132,1/6/2016 12:00,35
133,1/6/2016 13:00,31
134,1/6/2016 14:00,32
135,1/6/2016 15:00,45
136,1/6/2016 16:00,38
137,1/6/2016 17:00,39
138,1/6/2016 18:00,51
139,1/6/2016 19:00,61
140,1/6/2016 20:00,70
141,1/6/2016 21:00,80
142,1/6/2016 22:00,59
143,1/6/2016 23:00,47
144,1/7/2016 0:00,49
145,1/7/2016 1:00,79
146,1/7/2016 2:00,60
147,1/7/2016 3:00,44
148,1/7/2016 4:00,35
149,1/7/2016 5:00,32
150,1/7/2016 6:00,29
151,1/7/2016 7:00,28
152,1/7/2016 8:00,26
153,1/7/2016 9:00,67
154,1/7/2016 10:00,66
155,1/7/2016 11:00,64
156,1/7/2016 12:00,48
157,1/7/2016 13:00,39
158,1/7/2016 14:00,54
159,1/7/2016 15:00,44
160,1/7/2016 16:00,81
161,1/7/2016 17:00,103
162,1/7/2016 18:00,110
163,1/7/2016 19:00,144
164,1/7/2016 20:00,165
165,1/7/2016 21:00,155
166,1/7/2016 22:00,118
167,1/7/2016 23:00,107
168,1/8/2016 0:00,116
169,1/8/2016 1:00,123
170,1/8/2016 2:00,58
171,1/8/2016 3:00,50
172,1/8/2016 4:00,40
173,1/8/2016 5:00,40
174,1/8/2016 6:00,35
175,1/8/2016 7:00,39
176,1/8/2016 8:00,36
177,1/8/2016 9:00,36
178,1/8/2016 10:00,41
179,1/8/2016 11:00,49
180,1/8/2016 12:00,32
181,1/8/2016 13:00,43
182,1/8/2016 14:00,45
183,1/8/2016 15:00,58
184,1/8/2016 16:00,58
185,1/8/2016 17:00,61
186,1/8/2016 18:00,102
187,1/8/2016 19:00,89
188,1/8/2016 20:00,112
189,1/8/2016 21:00,108
190,1/8/2016 22:00,125
191,1/8/2016 23:00,129
192,1/9/2016 0:00,120
193,1/9/2016 1:00,114
194,1/9/2016 2:00,116
195,1/9/2016 3:00,125
196,1/9/2016 4:00,124
197,1/9/2016 5:00,107
198,1/9/2016 6:00,147
199,1/9/2016 7:00,205
200,1/9/2016 8:00,209
201,1/9/2016 9:00,201
202,1/9/2016 10:00,213
203,1/9/2016 11:00,241
204,1/9/2016 12:00,165
205,1/9/2016 13:00,123
206,1/9/2016 14:00,69
207,1/9/2016 15:00,84
208,1/9/2016 16:00,96
209,1/9/2016 17:00,94
210,1/9/2016 18:00,96
211,1/9/2016 19:00,62
212,1/9/2016 20:00,65
213,1/9/2016 21:00,61
214,1/9/2016 22:00,84
215,1/9/2016 23:00,71
216,1/10/2016 0:00,71
217,1/10/2016 1:00,55
218,1/10/2016 2:00,50
219,1/10/2016 3:00,77
220,1/10/2016 4:00,49
221,1/10/2016 5:00,37
222,1/10/2016 6:00,29
223,1/10/2016 7:00,33
224,1/10/2016 8:00,28
225,1/10/2016 9:00,29
226,1/10/2016 10:00,42
227,1/10/2016 11:00,50
228,1/10/2016 12:00,39
229,1/10/2016 13:00,33
230,1/10/2016 14:00,29
231,1/10/2016 15:00,41
232,1/10/2016 16:00,31
233,1/10/2016 17:00,37
234,1/10/2016 18:00,52
235,1/10/2016 19:00,76
236,1/10/2016 20:00,59
237,1/10/2016 21:00,61
238,1/10/2016 22:00,89
239,1/10/2016 23:00,133
